"Date","Price","Open","High","Low","Vol.","Change %"
"29-11-2015","25,638.11","26,142.53","26,256.42","25,623.71","50.86M","-1.88%"
"22-11-2015","26,128.20","25,945.14","26,184.65","25,703.86","37.47M","1.00%"
"15-11-2015","25,868.49","25,580.15","26,058.76","25,451.42","59.87M","1.01%"
"08-11-2015","25,610.53","25,809.00","26,193.17","25,540.73","41.31M","-2.49%"
"01-11-2015","26,265.24","26,641.69","26,824.30","26,190.18","54.91M","-1.47%"
"25-10-2015","26,656.83","27,575.04","27,618.14","26,585.20","57.46M","-2.96%"
"18-10-2015","27,470.81","27,305.62","27,555.06","27,190.55","38.23M","0.94%"
"11-10-2015","27,214.60","27,242.60","27,305.04","26,713.28","64.95M","0.50%"
"04-10-2015","27,079.51","26,379.42","27,200.44","26,375.31","78.23M","3.27%"
"27-09-2015","26,220.95","25,922.71","26,431.80","25,287.33","73.08M","1.38%"
"20-09-2015","25,863.50","26,107.98","26,339.10","25,386.48","46.51M","-1.36%"
"13-09-2015","26,218.91","25,706.87","26,471.82","25,531.07","88.72M","2.38%"
"06-09-2015","25,610.21","25,302.98","25,875.96","24,833.54","68.19M","1.62%"
"30-08-2015","25,201.90","26,469.42","26,504.73","25,119.06","67.66M","-4.51%"
"23-08-2015","26,392.38","26,730.40","26,730.40","25,298.42","94.08M","-3.56%"
"16-08-2015","27,366.07","28,093.54","28,095.97","27,131.44","65.31M","-2.50%"
"09-08-2015","28,067.31","28,250.78","28,417.59","27,479.43","73.08M","-0.60%"
"02-08-2015","28,236.39","28,089.09","28,359.96","27,866.12","52.89M","0.43%"
"26-07-2015","28,114.56","28,117.65","28,161.17","27,416.39","56.15M","0.01%"
"19-07-2015","28,112.31","28,544.28","28,578.33","28,070.91","47.53M","-1.23%"
"12-07-2015","28,463.31","27,739.32","28,576.32","27,635.06","37.53M","2.90%"
"05-07-2015","27,661.40","27,857.20","28,335.23","27,530.90","50.43M","-1.54%"
"28-06-2015","28,092.79","27,451.07","28,135.43","27,209.19","53.21M","1.01%"
"21-06-2015","27,811.84","27,427.19","27,968.75","27,417.03","47.38M","1.81%"
"14-06-2015","27,316.17","26,498.67","27,404.60","26,307.84","67.62M","3.37%"
"07-06-2015","26,425.30","26,814.31","27,000.14","26,307.07","49.62M","-1.28%"
"31-05-2015","26,768.49","27,770.79","27,959.43","26,551.97","63.56M","-3.81%"
"24-05-2015","27,828.44","27,893.25","27,903.29","27,354.35","47.00M","-0.46%"
"17-05-2015","27,957.50","27,416.97","28,071.16","27,370.28","62.84M","2.32%"
"10-05-2015","27,324.00","27,249.42","27,544.24","26,750.01","57.18M","0.81%"
"03-05-2015","27,105.39","27,204.63","27,603.71","26,423.99","56.88M","0.35%"
"26-04-2015","27,011.31","27,565.49","27,567.28","26,897.54","44.09M","-1.55%"
"19-04-2015","27,437.94","28,525.65","28,539.46","27,344.70","77.09M","-3.53%"
"12-04-2015","28,442.10","28,955.13","29,094.61","28,403.76","42.56M","-1.51%"
"05-04-2015","28,879.38","28,351.94","28,907.81","28,221.99","52.74M","2.19%"
"29-03-2015","28,260.14","27,655.79","28,298.34","27,624.76","31.10M","2.92%"
"22-03-2015","27,458.64","28,317.29","28,455.32","27,248.45","63.06M","-2.84%"
"15-03-2015","28,261.08","28,546.31","28,978.74","28,209.66","58.90M","-0.85%"
"08-03-2015","28,503.30","29,316.54","29,321.06","28,448.48","59.79M","-3.21%"
"01-03-2015","29,448.95","29,411.33","30,024.74","28,882.02","84.71M","0.78%"
"22-02-2015","29,220.12","29,316.58","29,362.96","28,693.82","55.74M","-0.04%"
"15-02-2015","29,231.41","29,170.77","29,522.86","29,083.40","46.34M","0.47%"
"08-02-2015","29,094.93","28,566.50","29,154.67","28,044.49","73.45M","1.31%"
"01-02-2015","28,717.91","29,143.63","29,277.83","28,647.14","76.96M","-1.59%"
"25-01-2015","29,182.95","29,451.65","29,844.16","29,070.48","52.56M","-0.33%"
"18-01-2015","29,278.84","28,249.84","29,408.73","28,197.36","62.09M","4.11%"
"11-01-2015","28,121.89","27,523.86","28,194.61","27,203.25","55.96M","2.42%"
"04-01-2015","27,458.38","27,978.43","28,064.49","26,776.12","55.46M","-1.54%"
"28-12-2014","27,887.90","27,266.49","27,937.47","27,266.49","29.81M","2.37%"
